v8-version,8,1,307,31,-node.33,0
code-creation,Builtin,3,3000,0x7ff75b198db0,12,ConsoleDebug
code-creation,Builtin,3,3000,0x7ff75b198dd0,12,ConsoleError
code-creation,Builtin,3,3000,0x7ff75b198df0,12,ConsoleInfo
code-creation,Builtin,3,3000,0x7ff75b198e10,12,ConsoleLog
code-creation,Builtin,3,3000,0x7ff75b198e30,12,ConsoleWarn
code-creation,Builtin,3,3000,0x7ff75b198e50,12,ConsoleDir
code-creation,Builtin,3,3000,0x7ff75b198e70,12,ConsoleDirXml
code-creation,Builtin,3,3000,0x7ff75b198e90,12,ConsoleTable
code-creation,Builtin,3,3000,0x7ff75b198eb0,12,ConsoleTrace
code-creation,Builtin,3,3000,0x7ff75b198ed0,12,ConsoleGroup
code-creation,Builtin,3,3000,0x7ff75b198ef0,12,ConsoleGroupCollapsed
code-creation,Builtin,3,3000,0x7ff75b198f10,12,ConsoleGroupEnd
code-creation,Builtin,3,3000,0x7ff75b198f30,12,ConsoleClear
code-creation,Builtin,3,3000,0x7ff75b198f50,12,ConsoleCount
code-creation,Builtin,3,3000,0x7ff75b198f70,12,ConsoleCountReset
code-creation,Builtin,3,3000,0x7ff75b198f90,12,ConsoleAssert
code-creation,Builtin,3,3000,0x7ff75b198fb0,12,ConsoleProfile
code-creation,Builtin,3,3000,0x7ff75b198fd0,12,ConsoleProfileEnd
code-creation,Builtin,3,3000,0x7ff75b198ff0,12,ConsoleTime
code-creation,Builtin,3,3000,0x7ff75b199010,12,ConsoleTimeLog
code-creation,Builtin,3,3000,0x7ff75b199030,12,ConsoleTimeEnd
code-creation,Builtin,3,3000,0x7ff75b199050,12,ConsoleTimeStamp
code-creation,Builtin,3,3000,0x7ff75b199070,12,ConsoleContext
code-creation,Builtin,3,3000,0x7ff75b199090,12,DataViewConstructor
code-creation,Builtin,3,3000,0x7ff75b1990b0,12,DateConstructor
code-creation,Builtin,3,3000,0x7ff75b1990d0,226,DatePrototypeGetDate
code-creation,Builtin,3,3000,0x7ff75b1991d0,226,DatePrototypeGetDay
code-creation,Builtin,3,3000,0x7ff75b1992d0,226,DatePrototypeGetFullYear
code-creation,Builtin,3,3000,0x7ff75b1993d0,226,DatePrototypeGetHours
code-creation,Builtin,3,3000,0x7ff75b1994d0,202,DatePrototypeGetMilliseconds
code-creation,Builtin,3,3000,0x7ff75b1995b0,226,DatePrototypeGetMinutes
code-creation,Builtin,3,3000,0x7ff75b1996b0,226,DatePrototypeGetMonth
code-creation,Builtin,3,3000,0x7ff75b1997b0,226,DatePrototypeGetSeconds
code-creation,Builtin,3,3000,0x7ff75b1998b0,142,DatePrototypeGetTime
code-creation,Builtin,3,3000,0x7ff75b199950,202,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,3000,0x7ff75b199a30,202,DatePrototypeGetUTCDate
code-creation,Builtin,3,3000,0x7ff75b199b10,202,DatePrototypeGetUTCDay
code-creation,Builtin,3,3000,0x7ff75b199bf0,202,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,3000,0x7ff75b199cd0,202,DatePrototypeGetUTCHours
code-creation,Builtin,3,3000,0x7ff75b199db0,202,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,3000,0x7ff75b199e90,202,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,3000,0x7ff75b199f70,202,DatePrototypeGetUTCMonth
code-creation,Builtin,3,3000,0x7ff75b19a050,202,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,3000,0x7ff75b19a130,142,DatePrototypeValueOf
code-creation,Builtin,3,3000,0x7ff75b19a1d0,460,DatePrototypeToPrimitive
code-creation,Builtin,3,3000,0x7ff75b19a3b0,12,DatePrototypeGetYear
